method,run_name,train_size,seed,run_dir,far_ood_mutual_information,near_ood_mutual_information,far_ood_logit_variance_sum,near_ood_logit_variance_sum,far_ood_expected_pairwise_kl,near_ood_expected_pairwise_kl,far_ood_softmax_variance_sum,near_ood_softmax_variance_sum,mean_sigma,max_sigma,sigma_norm,far_ood_predictive_entropy,near_ood_predictive_entropy,far_ood_one_minus_max_softmax,near_ood_one_minus_max_softmax
ensemble,pneumonia_ensemble_n100,100,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n100/20260704_155631,0.7635002323507145,0.18305517875738092,,,,,0.7619089110246666,0.18268464552846936,,,,,,,
ensemble,pneumonia_ensemble_n100,100,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n100/20260704_155713,0.7686953319991905,0.39320917743335904,,,,,0.7781936043591992,0.3753929788618027,,,,,,,
ensemble,pneumonia_ensemble_n100,100,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n100/20260704_160324,0.8208205915199485,0.10734371529490497,,,,,0.8001395041186038,0.10501455270270661,,,,,,,
ensemble,pneumonia_ensemble_n100,100,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n100/20260704_160342,0.48407296749338546,0.20670872924184602,,,,,0.5031971645717627,0.10014786173345908,,,,,,,
ensemble,pneumonia_ensemble_n100,100,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n100/20260704_160754,0.35885958896409054,0.7806564978033927,,,,,0.35653467647036785,0.7823312665322453,,,,,,,
ensemble,pneumonia_ensemble_n1000,1000,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n1000/20260704_161022,0.9612798776785916,0.8467180518416596,,,,,0.9567598130701024,0.8407712211289666,,,,,,,
ensemble,pneumonia_ensemble_n1000,1000,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n1000/20260704_161438,0.920203925228041,0.855813671319493,,,,,0.9229729273941492,0.8567930761442405,,,,,,,
ensemble,pneumonia_ensemble_n1000,1000,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n1000/20260704_161617,0.7254631087026585,0.8098316739790752,,,,,0.7296121616861166,0.8314915294328051,,,,,,,
ensemble,pneumonia_ensemble_n1000,1000,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n1000/20260704_162203,0.7421478575015552,0.8892966061481924,,,,,0.7431756346547344,0.8941026758800131,,,,,,,
ensemble,pneumonia_ensemble_n1000,1000,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n1000/20260704_162323,0.8957045098524198,0.9310201531134707,,,,,0.8937534196778572,0.9241219520813684,,,,,,,
ensemble,pneumonia_ensemble_n10000,10000,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n10000/20260704_162949,0.7337963483461877,0.8693836789780511,,,,,0.732968130476169,0.8711373229228865,,,,,,,
ensemble,pneumonia_ensemble_n10000,10000,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n10000/20260704_164134,0.7979115605723324,0.8923177522780965,,,,,0.8185500191127201,0.9066874644836171,,,,,,,
ensemble,pneumonia_ensemble_n10000,10000,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n10000/20260704_164250,0.7017221122928519,0.8944783021942995,,,,,0.7084687151005479,0.8979255547767193,,,,,,,
ensemble,pneumonia_ensemble_n10000,10000,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n10000/20260704_164847,0.8095333123468171,0.8845972658514846,,,,,0.8062907082199686,0.8838415060677126,,,,,,,
ensemble,pneumonia_ensemble_n10000,10000,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_ensemble_n10000/20260704_165840,0.9237973976719958,0.8586312743206095,,,,,0.9254646077395273,0.8641970701327771,,,,,,,
lll,pneumonia_lll_n100,100,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n100/20260715_154124,0.7197288242304319,0.8100300789509363,0.8509418636026354,0.8439197845363471,0.7283019097729709,0.794470477772874,0.7202150743147528,0.8125005408586239,0.02567354589700699,0.02634635753929615,0.8272151350975037,,,,
lll,pneumonia_lll_n100,100,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n100/20260715_154123,0.765383865866181,0.8054088927253795,0.706898005531446,0.8309566653253373,0.6676059069547816,0.7868352667226276,0.7906873739872132,0.8018308424990841,0.025574922561645508,0.02621646039187908,0.8239352107048035,,,,
lll,pneumonia_lll_n100,100,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n100/20260715_154431,0.6646628759771847,0.7355512322922886,0.8656075971188512,0.7441722483276652,0.6419522331901752,0.7307846903115635,0.6494265715527774,0.7230434709710359,0.022333180531859398,0.02298084646463394,0.7199525833129883,,,,
lll,pneumonia_lll_n100,100,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n100/20260715_154443,0.723617419557934,0.7346438067360697,0.7629338774837167,0.7856635415855378,0.6938170350549772,0.7257876524139601,0.7288181405946679,0.7316211281733979,0.02359609678387642,0.024288704618811607,0.7610495686531067,,,,
lll,pneumonia_lll_n100,100,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n100/20260715_154736,0.7699339112120462,0.6574765321443097,0.6971594188234059,0.7029828893965748,0.6952643083069128,0.6632301411136208,0.8030659051559372,0.6277098369203078,0.026891330257058144,0.027529723942279816,0.8658459186553955,,,,
lll,pneumonia_lll_n1000,1000,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n1000/20260715_154801,0.6900240033278618,0.93404504018219,0.7740464251718271,0.8732321134447358,0.6832755267240797,0.9557661929466266,0.686536400362767,0.9227888707881536,0.02621983364224434,0.02683199569582939,0.8434656858444214,,,,
lll,pneumonia_lll_n1000,1000,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n1000/20260715_155146,0.8962783599037619,0.893370127945516,0.9152097902097903,0.8768136792520862,0.9586085471334667,0.9272353596781963,0.8572729521282576,0.8806250198314829,0.041050780564546585,0.04158053174614906,1.3176451921463013,,,,
lll,pneumonia_lll_n1000,1000,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n1000/20260715_155218,0.7564257152279661,0.8358889804742825,0.8344355938809315,0.8864820229410594,0.7509963910687383,0.8246973084711441,0.7510750905043508,0.8399574091862313,0.010186473838984966,0.010755937546491623,0.3297297954559326,,,,
lll,pneumonia_lll_n1000,1000,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n1000/20260715_155539,0.9044750466575227,0.8921426492986146,0.8170678464086825,0.8669842498363002,0.9007675068768317,0.9020454101294886,0.9127513697449389,0.8893184207793556,0.009667428210377693,0.010261712595820427,0.3133924901485443,,,,
